INFO 2023-09-22 15:15:16,544 autoreload trigger_reload 21689 8461475328 /Users/hikmatillo/PycharmProjects/expo_bot/views.py changed, reloading.
WARNING 2023-09-22 15:49:56,294 basehttp log_message 254011 140159362242112 "GET /staticvendor/adminlte/img/AdminLTELogo.png HTTP/1.0" 404 2342
WARNING 2023-09-22 15:49:56,331 basehttp log_message 254011 140159379027520 "GET /staticadmin/js/admin/RelatedObjectLookups.js HTTP/1.0" 404 2348
WARNING 2023-09-22 15:49:56,331 basehttp log_message 254011 140159379027520 "GET /staticadmin/js/admin/RelatedObjectLookups.js HTTP/1.0" 404 2348
WARNING 2023-09-22 15:49:56,379 basehttp log_message 254011 140159395812928 "GET /staticadmin/js/vendor/xregexp/xregexp.js HTTP/1.0" 404 2336
WARNING 2023-09-22 15:49:56,384 log log_response 254011 140159783056960 Not Found: /staticvendor/bootstrap/js/bootstrap.min.js
WARNING 2023-09-22 15:49:56,379 basehttp log_message 254011 140159395812928 "GET /staticadmin/js/vendor/xregexp/xregexp.js HTTP/1.0" 404 2336
WARNING 2023-09-22 15:49:56,467 basehttp log_message 254011 140159783056960 "GET /staticvendor/bootstrap/js/bootstrap.min.js HTTP/1.0" 404 2342
WARNING 2023-09-22 15:49:56,467 basehttp log_message 254011 140159783056960 "GET /staticvendor/bootstrap/js/bootstrap.min.js HTTP/1.0" 404 2342
WARNING 2023-09-22 15:49:56,477 log log_response 254011 140159395812928 Not Found: /staticvendor/adminlte/js/adminlte.min.js
WARNING 2023-09-22 15:49:56,527 log log_response 254011 140159387420224 Not Found: /staticadmin/js/vendor/jquery/jquery.js
WARNING 2023-09-22 15:49:56,586 log log_response 254011 140159783056960 Not Found: /staticvendor/select2/js/select2.min.js
WARNING 2023-09-22 15:49:56,605 basehttp log_message 254011 140159395812928 "GET /staticvendor/adminlte/js/adminlte.min.js HTTP/1.0" 404 2336
WARNING 2023-09-22 15:49:56,605 basehttp log_message 254011 140159395812928 "GET /staticvendor/adminlte/js/adminlte.min.js HTTP/1.0" 404 2336
WARNING 2023-09-22 15:49:56,608 log log_response 254011 140159379027520 Not Found: /staticjazzmin/js/main.js
WARNING 2023-09-22 15:49:56,671 log log_response 254011 140159362242112 Not Found: /staticjazzmin/js/change_list.js
WARNING 2023-09-22 15:49:56,738 basehttp log_message 254011 140159387420224 "GET /staticadmin/js/vendor/jquery/jquery.js HTTP/1.0" 404 2330
WARNING 2023-09-22 15:49:56,740 basehttp log_message 254011 140159783056960 "GET /staticvendor/select2/js/select2.min.js HTTP/1.0" 404 2330
WARNING 2023-09-22 15:49:56,738 basehttp log_message 254011 140159387420224 "GET /staticadmin/js/vendor/jquery/jquery.js HTTP/1.0" 404 2330
WARNING 2023-09-22 15:49:56,740 basehttp log_message 254011 140159783056960 "GET /staticvendor/select2/js/select2.min.js HTTP/1.0" 404 2330
WARNING 2023-09-22 15:49:56,767 basehttp log_message 254011 140159379027520 "GET /staticjazzmin/js/main.js HTTP/1.0" 404 2288
WARNING 2023-09-22 15:49:56,767 basehttp log_message 254011 140159379027520 "GET /staticjazzmin/js/main.js HTTP/1.0" 404 2288
WARNING 2023-09-22 15:49:56,794 basehttp log_message 254011 140159362242112 "GET /staticjazzmin/js/change_list.js HTTP/1.0" 404 2309
WARNING 2023-09-22 15:49:56,794 basehttp log_message 254011 140159362242112 "GET /staticjazzmin/js/change_list.js HTTP/1.0" 404 2309
WARNING 2023-09-22 15:49:56,927 log log_response 254011 140159362242112 Not Found: /staticvendor/adminlte/img/AdminLTELogo.png
WARNING 2023-09-22 15:49:56,988 basehttp log_message 254011 140159362242112 "GET /staticvendor/adminlte/img/AdminLTELogo.png HTTP/1.0" 404 2342
WARNING 2023-09-22 15:49:56,988 basehttp log_message 254011 140159362242112 "GET /staticvendor/adminlte/img/AdminLTELogo.png HTTP/1.0" 404 2342
INFO 2023-09-22 15:49:58,534 basehttp log_message 254011 140159362242112 "GET /admin/expoBot/bot/ HTTP/1.0" 200 16119
INFO 2023-09-22 15:49:58,534 basehttp log_message 254011 140159362242112 "GET /admin/expoBot/bot/ HTTP/1.0" 200 16119
WARNING 2023-09-22 15:49:58,651 log log_response 254011 140159783056960 Not Found: /staticvendor/adminlte/css/adminlte.min.css
WARNING 2023-09-22 15:49:58,656 log log_response 254011 140159362242112 Not Found: /staticadmin/js/vendor/jquery/jquery.js
WARNING 2023-09-22 15:49:58,666 log log_response 254011 140159387420224 Not Found: /staticvendor/select2/css/select2.min.css
WARNING 2023-09-22 15:49:58,702 log log_response 254011 140159395812928 Not Found: /staticvendor/fontawesome-free/css/all.min.css
WARNING 2023-09-22 15:49:58,736 log log_response 254011 140159370634816 Not Found: /staticjazzmin/css/main.css
WARNING 2023-09-22 15:49:58,813 basehttp log_message 254011 140159362242112 "GET /staticadmin/js/vendor/jquery/jquery.js HTTP/1.0" 404 2330
WARNING 2023-09-22 15:49:58,813 basehttp log_message 254011 140159362242112 "GET /staticadmin/js/vendor/jquery/jquery.js HTTP/1.0" 404 2330
